artists,genres
Metalocalypse: Dethklok,"['comic', 'comic metal']"
Method Man,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
Methods of Mayhem,"['nu metal', 'rap metal', 'rap rock']"
Methrone,['southern soul blues']
Metric,"['alternative dance', 'canadian indie', 'canadian rock', 'dance-punk', 'electropop', 'indie pop', 'indie rock', 'indietronica', 'metropopolis', 'modern rock', 'neo-synthpop', 'new rave', 'shimmer pop']"
Metro Boomin,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Metro Station,"['electropowerpop', 'neon pop punk', 'pixie', 'pop punk']"
Metronome All Star Band,[]
Metronomy,"['alternative dance', 'dance-punk', 'electronica', 'electropop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'socal pop punk']"
Metropolis Chamber Players,[]
Metropolitan Opera Chorus,['opera chorus']
Metropolitan Opera Orchestra,['opera']
Mexicano,"['corrido', 'regional mexican', 'tecnobanda']"
Mexicano 777,"['latin hip hop', 'reggaeton']"
Mexico Symphony Orchestra,[]
Mez,['north carolina hip hop']
Mezzoforte,"['icelandic jazz', 'jazz funk', 'jazz fusion', 'modern funk', 'smooth jazz']"
Mhisani,[]
Mi Banda El Mexicano,"['corrido', 'regional mexican', 'tecnobanda']"
Mi Sonora,[]
MiMS,['pop rap']
Mia,"['dance pop', 'pop', 'pop dance', 'pop r&b', 'post-teen pop', 'r&b', 'social media pop', 'urban contemporary']"
Mia Braia,['muzica populara']
Mia Martini,"['classic italian pop', 'italian adult pop']"
Mia X,"['deep southern trap', 'dirty south rap', 'gangster rap', 'hip pop', 'southern hip hop']"
Mia Z,['calming instrumental']
Miami Horror,"['alternative dance', 'australian dance', 'australian electropop', 'chillwave', 'dance-punk', 'electroclash', 'filter house', 'indie poptimism', 'indie soul', 'indietronica', 'new rave', 'nu disco']"
Miami Mass Choir,['praise']
Miami Nights 1984,"['filter house', 'synthwave']"
Miami Sound Machine,"['new wave pop', 'soft rock']"
Micah Tyler,"['anthem worship', 'ccm', 'christian pop']"
Mice Chorus,"['disney', 'movie tunes']"
Miceal O'Rourke,['classical piano']
Michael Andrews,['soundtrack']
Michael Ball,"['hollywood', 'operatic pop', 'show tunes']"
Michael Behringer,[]
Michael Berresse,[]
Michael Bivins,[]
Michael Bolton,"['adult standards', 'soft rock']"
Michael Bublï¿,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']"
Michael Card,"['christian music', 'deep christian rock', 'roots worship']"
Michael Carreon,[]
Michael Cassette,"['progressive house', 'progressive trance', 'progressive trance house', 'uplifting trance']"
Michael Cera,"['anti-folk', 'canadian indie folk', 'small room']"
Michael Chapman,"['british folk', 'drone folk', 'folk rock', 'yorkshire folk']"
Michael Clark,[]
Michael Coleman,[]
Michael Cooper,"['funk', 'new jack swing', 'southern soul blues']"
Michael Crawford,['operatic pop']
Michael DeLeon,[]
Michael Dulin,"['new age', 'new age piano']"
Michael English,['irish country']
Michael Fletcher,[]
Michael Francis,[]
Michael Franks,"['adult standards', 'jazz funk', 'smooth jazz', 'vocal jazz', 'yacht rock']"
Michael Franti,['reggae fusion']
Michael Franti & Spearhead,['reggae fusion']
Michael Giacchino,['soundtrack']
Michael Gira,"['experimental', 'industrial']"
Michael Glï¿½ï¿,[]
Michael Gore,[]
Michael Gray,"['deep house', 'disco house', 'vocal house']"
Michael H. Brauer,[]
Michael Haggins,[]
Michael Halasz,['hungarian classical performance']
Michael Hedges,['fingerstyle']
Michael Henderson,"['classic soul', 'disco', 'funk', 'jazz funk', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
Michael Hoppï¿,['new age']
Michael Hurley,"['folk', 'freak folk', 'indie folk', 'new weird america', 'traditional folk']"
Michael Hutchinson,[]
Michael Jackson,"['pop', 'r&b', 'soul']"
Michael James Scott,['broadway']
Michael Johnson,"['adult standards', 'mellow gold', 'soft rock']"
Michael Joncas,['rosary']
Michael Jones,"['new age', 'new age piano']"
Michael Kamen,"['classic soundtrack', 'scorecore', 'soundtrack']"
Michael Kiwanuka,"['british soul', 'funk', 'neo soul', 'psychedelic soul', 'soul']"
Michael Kwan,"['c-pop', 'classic cantopop', 'vintage chinese pop']"
Michael Langdon,['classical bass']
Michael Lange,[]
Michael Learns To Rock,"['boy band', 'danish pop rock', 'soft rock']"
Michael Lington,"['smooth jazz', 'smooth saxophone']"
Michael Longo,['rare groove']
Michael Maguire,[]
Michael Mandrell and Benjy Wertheimer,[]
Michael Marshall,[]
Michael Martin Murphey,"['country', 'country rock', 'cowboy western', 'new mexico music', 'outlaw country', 'soft rock']"
Michael McDonald,"['mellow gold', 'quiet storm', 'soft rock', 'yacht rock']"
Michael Miller,[]
Michael Morgan Wise,[]
Michael Murica,[]
Michael Nesmith,"['classic uk pop', 'country rock', 'pub rock']"
Michael Nyman,"['bow pop', 'british contemporary classical', 'british soundtrack', 'compositional ambient', 'minimalism', 'post-minimalism', 'soundtrack']"
Michael O. Drexler,[]
Michael Oneal,[]
Michael Penn,[]
Michael Penny,[]
Michael Peterson,"['country', 'country road']"
Michael Potts,[]
Michael Praetorius,"['classical', 'early music', 'german renaissance', 'renaissance']"
Michael R. Hicks,"['lds', 'lds youth']"
Michael R. Hicks Youth choir,[]
Michael Rabin,['violin']
Michael Raucheisen,[]
Michael Ray,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Michael Riesman,['compositional ambient']
Michael Roider,[]
Michael Ruff,['deep soft rock']
Michael Rupert,[]
Michael Salgado,['tejano']
Michael Salvatori,"['scorecore', 'video game music']"
Michael Sarsfield,[]
Michael Schenker Group,"['album rock', 'german hard rock', 'glam metal', 'hard rock', 'metal', 'neo classical metal', 'rock']"
Michael Schulte,"['german pop', 'indie cafe pop']"
Michael Scott Fan Club,[]
Michael Sembello,['hi-nrg']
Michael Seyer,"['bedroom pop', 'indie garage rock']"
Michael Stanley Band,"['album rock', 'classic rock', 'heartland rock', 'soft rock']"
Michael Tilson Thomas,"['classical performance', 'orchestral performance']"
Michael Vampire,[]
Michael Verdick,[]
Michael W. Smith,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']"
Michael Watts,['chopped and screwed']
Michael White,['gaming edm']
Michael William Balfe,"['irish classical', 'victorian britain']"
Michael Wong,"['c-pop', 'malaysian mandopop', 'mandopop']"
Michael Wycoff,['post-disco']
Michael-Leon Wooley,[]
Michaela Dietz,[]
Michal Urbaniak,"['contemporary jazz', 'jazz violin', 'polish jazz']"
Michaï¿½ï¿½l Lons,[]
Michel 'Le,"['hollywood', 'post-teen pop', 'show tunes']"
Michel Berger,"['chanson', 'french pop', 'french rock']"
Michel De Villers,['french jazz']
Michel Fugain & Le Big Bazar,['chanson']
Michel LaRue,['spirituals']
Michel LeBond,"['atmosphere', 'background music', 'focus']"
Michel Legrand,"['classic soundtrack', 'french jazz', 'french soundtrack']"
Michel Piquemal,[]
Michel Piquemal Vocal Ensemble,[]
Michel Plasson,['orchestral performance']
Michel Polnareff,"['chanson', 'french pop', 'ye ye']"
Michel Simon,['coverchill']
Michel Sï¿½ï¿½nï¿,['classical tenor']
Michel Telï¿,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
Michel Warlop,['jazz violin']
Michel'le,[]
Michelangelo Rossi,"['baroque', 'italian baroque']"
Michele Calvino,[]
Michele Campanella,['italian classical piano']
Michele Dejean Group,['haitian traditional']
Michele Lee,[]
Michele Marsh,[]
Michele Pertusi,"['classical bass', 'italian bass', 'opera']"
Michelino e il suo complesso,[]
Michelle Ambriz,[]
Michelle Branch,"['candy pop', 'dance pop', 'lilith', 'neo mellow', 'pop rock', 'post-teen pop']"
Michelle Breedt,['classical mezzo-soprano']
Michelle Duffy,['show tunes']
Michelle Federer,['show tunes']
Michelle Montanari Con Orchestra Angelini,[]
Michelle Pfeiffer,['hollywood']
Michelle Weeks,[]
Michelle Williams,['hollywood']
Michelle Wright,"['canadian country', 'country dawn']"
Michiel Schrey,[]
Michiel Verkoren,[]
Michl,['vapor soul']
Mick Fleetwood,"['british blues', 'rock drums']"
Mick Gordon,"['electronic djent', 'video game music']"
Mick Jagger,['classic rock']
Mick Jenkins,"['chicago rap', 'conscious hip hop', 'drill', 'hip hop', 'rap', 'underground hip hop']"
Mick Jones,['album rock']
Mick Ronson,"['glam rock', 'pub rock']"
Mick Smiley,[]
Mick Taylor,['british blues']
Mickey & His Friends,['disney']
Mickey & Sylvia,['rhythm and blues']
Mickey Avalon,[]
Mickey Calin,[]
Mickey Gilley,"['classic country pop', 'country', 'country rock', 'nashville sound']"
Mickey Guyton,"['contemporary country', 'country pop']"
Mickey Mouse,"['cartoon', ""children's music"", 'disney', ""preschool children's music""]"
Mickey Roker,[]
Mickey Rooney,['vintage hollywood']
Mickey and Pals,"[""children's music""]"
Mickey and the Gang,[]
Micky & The Motorcars,"['red dirt', 'texas country']"
Micro TDH,"['latin', 'reggaeton', 'trap latino', 'trap venezolano', 'venezuelan hip hop']"
Microdynamic Recordings,"['environmental', 'sound']"
Middle Brother,"['deep new americana', 'indie folk', 'modern folk rock', 'new americana', 'roots rock', 'stomp and holler']"
Middle Class Rut,"['modern alternative rock', 'modern rock', 'sacramento indie', 'stomp pop']"
Midge Ure,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'scottish new wave', 'synthpop']"
Midlake,"['austindie', 'chamber pop', 'denton tx indie', 'freak folk', 'indie rock', 'modern folk rock', 'stomp and holler']"
Midland,"['contemporary country', 'neo-traditional country', 'texas country']"
Midnight Oil,"['australian rock', 'dance rock', 'rock']"
Midnight Star,"['disco', 'electro', 'funk', 'new jack swing', 'post-disco', 'quiet storm', 'urban contemporary']"
Midori,"['indonesian worship', 'world worship']"
Midtown,"['emo', 'pop punk']"
Mieczysï¿½ï¿½aw Horszo,"['classical piano', 'polish classical piano']"
Miel San Marcos,"['latin christian', 'latin worship']"
Mietta,[]
Mighty Baby,['acid rock']
Mighty Clouds Of Joy,"['contemporary gospel', 'gospel', 'praise']"
Mighty Diamonds,"['dub', 'lovers rock', 'modern reggae', 'old school dancehall', 'reggae', 'rock steady', 'roots reggae', 'ska']"
Mighty Joe Young,"['chicago blues', 'electric blues']"
Mighty Panther,['calypso']
Mighty Sparrow,"['calypso', 'soca']"
Migos,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Miguel,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
"Miguel ""Michael"" Salgado",['tejano']
Miguel Aceves Mejia,"['bolero', 'mariachi', 'ranchera']"
Miguel Amaral,[]
Miguel Angel,"['cumbia salvadorena', 'marimba orquesta', 'musica tropical guatemalteca']"
Miguel Bosï¿,"['latin', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish pop']"
Miguel Cassina,"['latin christian', 'latin worship']"
Miguel Figueroa,[]
Miguel Gallardo,"['latin pop', 'pop romantico']"
Miguel Llobet Solï¿½,"['classical guitar', 'guitarra clasica']"
Miguel Mateos,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']"
Miguel Mateos - Zas,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']"
Miguel Morales,"['classic colombian pop', 'musica popular colombiana', 'vallenato', 'vallenato moderno']"
Miguel Ramos Carriï¿½,[]
Miguel Rï¿½ï,"['cantautor', 'nueva cancion', 'rock andaluz', 'rock en espanol', 'spanish new wave', 'spanish pop']"
Miguel Y Miguel,"['corrido', 'deep regional mexican', 'regional mexican', 'sierreno']"
Mihai M,[]
Mihalis Kalergis,[]
Mihalis Kallergis,[]
Miho Hatori,['shibuya-kei']
Miike Snow,"['alternative dance', 'dance-punk', 'electropop', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'shimmer pop', 'swedish electropop', 'swedish indie pop', 'swedish synthpop']"
Mijares,"['latin', 'latin pop', 'mexican pop', 'rock en espanol']"
Mika Ogawa,['anime latino']
Mika Singh,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Mikayla Sippel,[]
Mike & The Mechanics,"['album rock', 'art rock', 'classic uk pop', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Mike Abene,[]
Mike Birbiglia,"['clean comedy', 'comedy', 'comic', 'new comedy']"
Mike Bloomfield,"['blues', 'blues rock', 'chicago blues', 'country rock', 'electric blues', 'modern blues']"
Mike Chapman,[]
Mike Curb Congregation,[]
Mike D,"['belgian dance', 'belgian edm', 'big room', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']"
Mike Douglas,['movie tunes']
Mike E. Clark,[]
Mike Faist,['show tunes']
Mike G,['jam band']
Mike Gordon,['jam band']
Mike Hutchinson,[]
Mike Jones,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Mike Krol,[]
Mike Lang,['moog']
Mike Laure,['mexican rock-and-roll']
Mike Marshall,"['bluegrass', 'classical mandolin', 'mandolin', 'progressive bluegrass']"
Mike McDonald,[]
Mike Ness,"['psychobilly', 'punk', ""punk 'n' roll"", 'rockabilly']"
Mike Oldfield,"['album rock', 'art rock', 'new age', 'progressive rock', 'symphonic rock']"
Mike Perry,"['big room', 'dance pop', 'deep tropical house', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'swedish tropical house', 'tropical house']"
Mike Pinto,"['reggae rock', 'west coast reggae']"
Mike Portnoy,"['neo classical metal', 'progressive metal', 'rock drums']"
Mike Posner,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
Mike Ratledge,['rock keyboard']
Mike Reid,['deep contemporary country']
Mike Reno,[]
Mike Ryan,"['contemporary country', 'red dirt', 'texas country']"
Mike Sammes Singers,['vocal harmony group']
Mike Seeger,"['american folk revival', 'appalachian folk', 'banjo', 'old-time', 'string band', 'traditional folk']"
Mike Sherm,"['cali rap', 'west coast trap']"
Mike Shinoda,"['alternative hip hop', 'rap rock']"
Mike Shorey,[]
Mike Stern,"['jazz funk', 'jazz fusion', 'jazz guitar']"
Mike Taylor,[]
Mike Vernon,[]
Mike Wallace,[]
Mike WiLL Made-It,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
Mikel,['lo-fi vgm']
Mikel Erentxun,"['cantautor', 'rock en espanol', 'spanish pop']"
Mikey Dread,"['dub', 'old school dancehall', 'reggae', 'roots reggae']"
Mikhail Glinka,"['early romantic era', 'russian romanticism']"
Mikhail Ippolitov-Ivanov,"['post-romantic era', 'russian romanticism']"
Mikhail Janshin,[]
Mikhail Nazvanov,[]
Mikhail Pletnev,"['classical performance', 'russian classical piano']"
Miki Gavrielov,"['classic israeli pop', 'israeli rock']"
Miki Howard,"['funk', 'neo soul', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'urban contemporary']"
Miki Matsubara,['japanese city pop']
Mikis Theodorakis,"['bouzouki', 'classic greek pop', 'entehno', 'greek contemporary classical', 'greek guitar']"
Mikky Ekko,['nashville indie']
Miklos Rozsa conductin the Rome Symphony Orchestra,[]
Miklï¿½ï¿½s Rï,"['classic soundtrack', 'soundtrack']"
Miky Woodz,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
MilTone,[]
Mila Crowell,['christmas instrumental']
Mila J,"['alternative r&b', 'hip pop', 'pop r&b', 'r&b', 'trap queen', 'urban contemporary']"
Milada Hausdorfovï¿,[]
Milan La Scala Chorus,[]
Milan La Scala Philharmonic Orchestra,[]
Milan Munclinger,[]
Mild High Club,"['indie garage rock', 'neo-psychedelic']"
Mildred Bailey,"['big band', 'stride', 'swing', 'torch song', 'vocal jazz']"
Mildred Bailey & Her Orchestra,[]
Mildred Bailey & Her Swing Band,[]
Miles Davis,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet']"
Miles Davis And Milt Jackson Quintet,[]
Miles Davis And Milt Jackson Sextet,[]
Miles Davis Quartet,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz quartet']"
Miles Davis Quintet,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion']"
Miles Davis Sextet,"['bebop', 'cool jazz', 'hard bop', 'jazz']"
Miles Diego,[]
Miles Jaye,['urban contemporary']
Miles Kane,"['baroque pop', 'britpop', 'indie rock', 'modern alternative rock', 'modern rock', 'rock']"
Miley Cyrus,"['dance pop', 'pop', 'pop dance', 'post-teen pop']"
Miley Cyrus as Hannah Montana,[]
Miliaris,[]
Milieris,[]
Milionï¿½ï¿½rio & Josï¿½,"['sertanejo', 'sertanejo tradicional', 'sertanejo universitario']"
Milios,[]
Milky Chance,['german pop']
Millencolin,"['melodic hardcore', 'pop punk', 'punk', 'skate punk']"
Milli Vanilli,['new jack swing']
Millie Jackson,"['classic soul', 'motown', 'quiet storm', 'soul', 'soul blues', 'southern soul']"
Millie Small,"['rock steady', 'ska', 'ska revival']"
Millonario,"['latin hip hop', 'mexican hip hop', 'perreo']"
Milly Mathis,[]
Milly Quezada,"['dominican pop', 'latin', 'merengue', 'tropical']"
Milo,['social media pop']
Milo Greene,"['indie folk', 'la indie', 'metropopolis', 'shimmer pop', 'stomp and holler']"
Milo Manheim,['social media pop']
Miloï¿½ï¿½ Petro,[]
Milt Hinton,['jazz double bass']
Milt Jackson,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz vibraphone', 'soul jazz', 'stride']"
Miltiadis Kazis,[]
Milton Katims,[]
Milton Nascimento,"['bossa nova', 'mpb', 'musica popular mineira', 'samba']"
Milton Rosenstock,[]
Milton Thomas,[]
Milton de Oliveira,[]
Mily Balakirev,"['post-romantic era', 'russian romanticism']"
Mimi And Richard Farina,"['american folk revival', 'mountain dulcimer', 'traditional folk']"
Mimi Goese,[]
Mimi Page,['downtempo']
Mimi Thoma,[]
Mimï¿½ï¿½ Fer,[]
Min-O-Taur,[]
Mina,"['dance pop', 'hip pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'queens hip hop']"
Minako Yoshida,"['japanese city pop', 'japanese jazz', 'shibuya-kei']"
Minal Wagh,[]
Minati Sarma,[]
Mindfulness Mediation World,['mindfulness']
Mindfulness Meditation Music Spa Maestro,"['mindfulness', 'spa']"
Mindless Behavior,"['pop r&b', 'pop rap']"
Mindless Self Indulgence,"['dance-punk', 'industrial metal', 'modern rock']"
Mindy Gledhill,"['indiecoustica', 'lds', 'lilith']"
Mindy McCready,"['country', 'country dawn']"
Mindy Moreno,[]
Mingus Big Band,"['bebop', 'big band', 'jazz', 'modern big band']"
Mini Thin,"['country rap', 'redneck']"
Miniature Tigers,"['indie pop', 'modern rock']"
Minimal Beats,[]
Minimal Man,['experimental rock']
Ministerio Jabes,['adventista']
Ministry,"['alternative metal', 'double drumming', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'rap rock']"
Minitrack,[]
Minitronik,[]
Mink DeVille,"['pub rock', 'roots rock']"
Minnesota,"['electronic trap', 'glitch hop', 'vapor twitch']"
Minnesota Orchestra,"['american orchestra', 'classical performance', 'orchestra']"
Minnie Driver,['lilith']
Minnie Mouse,[]
Minnie Riperton,"['classic soul', 'disco', 'funk', 'jazz funk', 'motown', 'neo soul', 'quiet storm', 'soul']"
Minoo Purushottam,[]
Minor Hall,[]
Minor Threat,"['dc hardcore', 'hardcore punk', 'post-hardcore', 'punk', 'straight edge']"
Minoru Muraoka,['shakuhachi']
Minotaur,[]
Mint Condition,"['funk', 'hip pop', 'minneapolis sound', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
Minus the Bear,"['dance-punk', 'dreamo', 'emo', 'indie rock', 'modern rock', 'progressive post-hardcore', 'screamo']"
Minutemen,"['alternative rock', 'art rock', 'dance rock', 'experimental', 'experimental rock', 'gbvfi', 'hardcore punk', 'indie rock', 'post-hardcore', 'post-punk', 'punk']"
Mipso,"['deep new americana', 'new americana', 'north carolina roots', 'progressive bluegrass', 'stomp and holler']"
Mirabeau De Oliveira,[]
Miracle Legion,"['gbvfi', 'jangle pop']"
Miracle Musical,['indie pop']
Miracle Of Sound,"['antiviral pop', 'comic', 'epicore', 'irish metal', 'otacore', 'scorecore', 'video game music']"
Miracle Tones,['meditation']
Mirah,"['anti-folk', 'freak folk', 'olympia wa indie']"
Miranda Cosgrove,"['dance pop', 'post-teen pop', 'viral pop']"
Miranda Lambert,"['contemporary country', 'country', 'country dawn', 'country road']"
Miranda Richardson,[]
Miranda!,['show tunes']
Mirane Esbly,[]
Mireille,[]
Mirella Freni,"['classical performance', 'classical soprano', 'italian soprano', 'opera']"
Miri Ben-Ari,"['bow pop', 'israeli hip hop', 'pop violin']"
Miriam Bryant,"['swedish idol pop', 'swedish pop']"
Miriam Karlin,[]
Miriam Makeba,"['afropop', 'south african jazz', 'world', 'xhosa']"
Miriam Pirazzini,['italian mezzo-soprano']
Miriam Stockley,"['celtic', 'new age', 'operatic pop']"
Miriam Yeung,"['c-pop', 'cantopop']"
Miriam y Las Chicas,[]
Mirjam,[]
Miroslav Vitous,"['contemporary jazz', 'ecm-style jazz', 'jazz double bass', 'rare groove']"
Mirto Picchi,['italian tenor']
Mirwais,[]
Mirza Musharaf,[]
Mis-Teeq,"['europop', 'girl group', 'uk garage']"
Misato Watanabe,"['j-pop', 'japanese city pop']"
Mischa Levitzki,"['historic piano performance', 'ukrainian classical piano']"
Mischa Maisky,"['classical', 'classical cello', 'classical performance']"
Mischief Brew,"['acoustic punk', 'anti-folk', 'folk punk', 'gypsy punk', 'philly indie', 'ska punk']"
Misfits,"['horror punk', 'new jersey hardcore', 'new jersey punk', 'punk']"
Mishaal,[]
Miss Angurbala,[]
Miss Bibbo,[]
Miss Dakota Smith,[]
Miss Das,[]
Miss Gohar,[]
Miss Jones,[]
Miss Kamala,[]
Miss Khatun,[]
Miss Liberty Ensemble,[]
Miss Liberty Orchestra,[]
Miss May I,"['deathcore', 'melodic deathcore', 'melodic metalcore', 'metalcore', 'post-screamo', 'screamo']"
Miss Meera,[]
Miss Moti,[]
Miss Palmer,[]
Miss Piggy,['cartoon']
Miss Rekha,[]
Miss Sheela,[]
Missing Persons,"['album rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
Mission Of Burma,"['alternative pop', 'alternative rock', 'boston rock', 'dance rock', 'dance-punk', 'gbvfi', 'post-hardcore', 'post-punk', 'punk', 'punk blues']"
Mississippi Fred McDowell,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'traditional blues', 'traditional folk']"
Mississippi John Hurt,"['acoustic blues', 'american folk revival', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'folk', 'old-time', 'piedmont blues', 'traditional blues', 'traditional folk']"
Mississippi Mass Choir,"['contemporary gospel', 'gospel', 'praise']"
Mississippi Sheiks,"['appalachian folk', 'blues', 'country blues', 'jug band', 'traditional blues']"
Missouri,[]
Missouri Jazz Band,[]
Missouri Manz,[]
Missy Elliott,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary', 'virginia hip hop']"
Missy Higgins,"['australian pop', 'australian talent show']"
Mist Kiila,[]
Mista,"['cali rap', 'hyphy', 'oakland hip hop', 'west coast trap']"
Mista Grimm,['g funk']
Mista Madd,['dirty texas rap']
Mistah F.A.B.,"['cali rap', 'hyphy', 'oakland hip hop', 'west coast trap']"
Mister Chivo,"['grupera', 'gruperas inmortales']"
Mister Rogers,[]
MisterWives,"['electropop', 'indie pop', 'indie poptimism', 'modern rock', 'nyc pop', 'pop', 'pop rock', 'stomp and holler']"
Mistinguett,['vintage chanson']
Mitaki,[]
Mitch Hedberg,"['comedy', 'comic']"
Mitch Leigh,['broadway']
Mitch Miller,[]
Mitch Miller & His Orchestra,[]
Mitch Miller & His Orchestra & Chorus,[]
Mitch Miller & The Gang,[]
Mitch Miller & The Sing-Along Gang,[]
Mitch Miller's Sing Along Chorus,[]
Mitch Ryder and The Detroit Wheels,[]
Mitchell Ayres & His Orchestra,[]
Mitchell Hope,[]
Mitchell Tenpenny,"['contemporary country', 'heartland rock']"
Mitglieder der Kapelle der Staatsoper Berlin,[]
Mitglieder der Staatskapelle Berlin,[]
Mitski,"['art pop', 'brooklyn indie', 'indie pop', 'indie rock']"
Mitsos Arapakis,[]
Mitsuko Uchida,"['classical performance', 'classical piano', 'japanese classical performance', 'japanese classical piano']"
Mitsunori Ikeda,[]
Mitzi Gaynor,[]
Mix Master Mike,['turntablism']
Mix. Thomakos,[]
Mixalis,[]
Mixalis Kagkanis,[]
Mixalis Kalergis,[]
Mixalis Kaleris,[]
Mixalis Thomakos,[]
Mixalis Xatzis,[]
Mixalopoylos,[]
"Mixed Bokharian singers, doyra players",[]
Mixed singers with tcherawata,[]
"Mixed singers, Balinese gamelan ensemble",[]
Miyagi,[]
Miyoshi Umeki,[]
Miï¿½ï¿,"['bossa nova', 'mpb', 'samba', 'velha guarda']"
Mlle Davia,[]
Mo' Horizons,"['electro jazz', 'electro swing', 'electronica', 'funk', 'nu jazz', 'trip hop']"
Mo-Do,"['belarusian indie', 'russian post-punk', 'sovietwave']"
Mo. Guzzo,[]
MoKenStef,['new jack swing']
Mobb Deep,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
Moby,"['downtempo', 'electronica']"
Moby Grape,"['classic garage rock', 'country rock', 'folk rock', 'freakbeat', 'psychedelic rock']"
Moccasin Creek,"['country rap', 'redneck']"
Mocedades,"['cancion melodica', 'latin pop', 'pop romantico']"
Mocha,[]
Mode Plagal,['greek jazz']
Moderat,"['latin', 'latin alternative', 'latin arena pop', 'latin pop', 'latin rock', 'mexican rock', 'rock en espanol']"
Moderatto,"['latin', 'latin alternative', 'latin arena pop', 'latin pop', 'latin rock', 'mexican rock', 'rock en espanol']"
Modern Baseball,"['alternative emo', 'emo', 'philly indie', 'pop punk']"
Modern English,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop', 'uk post-punk']"
Modern Jazz Giants,[]
Modern Talking,"['eurodance', 'europop', 'german pop', 'synthpop']"
Modern Veterans,[]
Modest Mouse,"['alternative rock', 'double drumming', 'indie pop', 'indie rock', 'modern rock', 'rock', 'washington indie']"
Modest Mussorgsky,"['late romantic era', 'russian romanticism']"
Modestep,"['brostep', 'drum and bass', 'dubstep', 'edm', 'electro house', 'filthstep']"
Modesto Duran & Orchestra,[]
Modjo,"['disco house', 'filter house', 'vocal house']"
Modl,[]
Moe,"['future funk', 'kawaii future bass']"
Moe Bandy,"['country', 'country rock']"
Moe Bandy & Joe Stampley,[]
Moe Keale,['hawaiian']
Moe Koffman,['jazz flute']
Moe Shop,"['future funk', 'kawaii future bass']"
Moedl,[]
Mofro,"['blues rock', 'electric blues', 'funk', 'jam band', 'modern blues', 'modern blues rock', 'modern funk', 'new americana', 'roots rock', 'swamp rock']"
Moguai,"['big room', 'edm', 'electro house', 'german techno', 'house', 'pop dance', 'progressive electro house', 'progressive house']"
Mogwai,"['british post-rock', 'chamber psych', 'cosmic post-rock', 'post-rock']"
Mohamed Fawzi,['classic arab pop']
Mohamed Roshdy,['classic arab pop']
Mohammadreza Shajarian,[]
Mohammed Abdel Wahab,"['arab folk', 'belly dance', 'classic arab pop']"
Mohammed Farooqui,[]
Mohammed Hussain,['ghazal']
Mohammed Rafi,"['classic bollywood', 'desi pop', 'filmi', 'sufi']"
Mohammed Shafi,[]
Mohan,"['desi pop', 'filmi', 'modern bollywood']"
Mohan Advani,[]
Mohanakumari,[]
Mohantara,[]
Mohantara Talpade,[]
Mohit Chauhan,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
