artists,genres
ALI,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
ALISA UENO,[]
ALLBLACK,"['cali rap', 'hyphy', 'k-rap', 'west coast trap']"
ALO,"['pop soul', 'r&b']"
AMG,[]
ANTONIS NTALGKAS,[]
AOA,"['k-pop', 'k-pop girl group']"
APB,[]
APO Hiking Society,"['classic opm', 'opm']"
AR30,[]
ARTY,"['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'russian edm', 'trance', 'tropical house', 'uplifting trance']"
ASIAN KUNG-FU GENERATION,"['anime', 'anime score', 'j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'japanese pop punk', 'otacore']"
ATB,"['german dance', 'german techno', 'german trance', 'trance']"
ATEEZ,"['k-pop', 'k-pop boy group']"
ATR Son Son,[]
ATaste Of Honey,[]
8-Aug,"['la pop', 'r&b']"
AURORA,"['art pop', 'norwegian pop']"
AViVA,['vapor pop']
AWAY,"['future bass', 'traprun']"
AWJC Media,[]
AWOLNATION,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']"
AZ,"['gruperas inmortales', 'nu-cumbia', 'regional mexican']"
Aadesh Shrivastava,['modern bollywood']
Aage Braarud,[]
Aaliyah,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
Aalon,[]
Aaron Carter,"['dance pop', 'post-teen pop']"
Aaron Copland,"['american modern classical', 'classical', 'early modern classical']"
Aaron Espe,['stomp and flutter']
Aaron Hall,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Aaron Kamm and the One Drops,"['reggae rock', 'stl indie', 'west coast reggae']"
Aaron Krause,['indiecoustica']
Aaron Kwok,"['c-pop', 'cantopop', 'classic cantopop', 'classic mandopop']"
Aaron Lansing,['focus']
Aaron Lewis,"['alternative metal', 'contemporary country', 'country', 'country road', 'modern country rock', 'outlaw country', 'redneck']"
Aaron Lohr,[]
Aaron Mash,[]
Aaron May,"['rap', 'underground hip hop']"
Aaron Neville,"['motown', 'soul']"
Aaron Shaw,[]
Aaron Shust,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'world worship', 'worship']"
Aaron Smith,['chicago house']
Aaron Tippin,"['country', 'country road', 'country rock', 'redneck']"
